"score_id","survey_id","survey_method_id","resolution_name","num_points","fraction_coverage"
29,912347852,70,"RLS/Squidle",3,3
30,912347852,70,"RLS/Squidle",38,38
31,912347852,70,"RLS/Squidle",2,2
32,912347852,70,"RLS/Squidle",2,2
33,912347852,70,"RLS/Squidle",1,1
34,912347852,70,"RLS/Squidle",4,4
35,912347852,70,"RLS/Squidle",50,50
149,3000166,323,"RLS/Squidle",2,2.1978021978022
150,3000166,323,"RLS/Squidle",4,4.3956043956044
151,3000166,323,"RLS/Squidle",4,4.3956043956044
152,3000166,323,"RLS/Squidle",20,21.978021978022
153,3000166,323,"RLS/Squidle",59,64.8351648351648
154,3000166,323,"RLS/Squidle",1,1.0989010989011
155,3000166,323,"RLS/Squidle",1,1.0989010989011
298,912343813,653,"RLS/CATAMI",3,3
299,912343813,653,"RLS/CATAMI",4,4
300,912343813,653,"RLS/CATAMI",1,1
301,912343813,653,"RLS/CATAMI",7,7
302,912343813,653,"RLS/CATAMI",50,50
303,912343813,653,"RLS/CATAMI",8,8
304,912343813,653,"RLS/CATAMI",2,2
305,912343813,653,"RLS/CATAMI",13,13
306,912343813,653,"RLS/CATAMI",4,4
307,912343813,653,"RLS/CATAMI",2,2
308,912343813,653,"RLS/CATAMI",6,6
309,912343813,653,"Australian Coral Species",1,12.5
310,912343813,653,"Australian Coral Species",1,12.5
311,912343813,653,"Australian Coral Species",1,12.5
312,912343813,653,"Australian Coral Species",1,12.5
313,912343813,653,"Australian Coral Species",1,12.5
314,912343813,653,"Australian Coral Species",3,37.5
454,912351918,895,"Australian Coral Species",2,1.63934426229508
455,912351918,895,"Australian Coral Species",49,40.1639344262295
456,912351918,895,"Australian Coral Species",26,21.3114754098361
457,912351918,895,"Australian Coral Species",2,1.63934426229508
458,912351918,895,"Australian Coral Species",4,3.27868852459016
459,912351918,895,"Australian Coral Species",4,3.27868852459016
460,912351918,895,"Australian Coral Species",5,4.0983606557377
461,912351918,895,"Australian Coral Species",1,0.819672131147541
462,912351918,895,"Australian Coral Species",1,0.819672131147541
463,912351918,895,"Australian Coral Species",1,0.819672131147541
464,912351918,895,"Australian Coral Species",1,0.819672131147541
465,912351918,895,"Australian Coral Species",1,0.819672131147541
466,912351918,895,"Australian Coral Species",7,5.73770491803279
467,912351918,895,"Australian Coral Species",4,3.27868852459016
468,912351918,895,"Australian Coral Species",1,0.819672131147541
469,912351918,895,"Australian Coral Species",1,0.819672131147541
470,912351918,895,"Australian Coral Species",1,0.819672131147541
471,912351918,895,"Australian Coral Species",2,1.63934426229508
